,original_review,original_reply,rating,gpt_review,gpt_reply,sentiment,score
0,맛도 양도 모두 만족합니다 배달도 정확히 보내 주시고 아주 만족합니다.,"안녕하세요! 주문해 주셔서 진심으로 감사드려요! 이렇게 좋은 리뷰 써 주시니, 메뉴 제공해 드린 저희도 너무 만족스러운데요? 감사해요 비록 아직 부족한 부분도 분명 많을 텐데 이렇게 아낌없이 칭찬해 주시니까 정말 가슴이 뭉클해져요. 제가 이렇게 받은 은혜 꼭 갚을 수 있도록, 앞으로도 방심하지 않고 바르게 운영할게요.! 좋은 리뷰 공유해 주셔서 감사드리며, 다음에 또 뵈어요~! ",5, 김치찌개는 별로였어요. 약간 김치국 느낌이 나서 실망했어요. 고기도 별로였고. ,안녕하세요. 김치찌개와 고기에 대한 실망을 드려 죄송합니다. 지속적인 품질 개선을 위해 노력하겠습니다. 감사합니다.,부정,0.9088118672370911
1,너무 맛있게 잘 먹었습니다!,즐거운 순간을 저희와 함께해주셔서 감사합니다 보람차게 일할 수 있게 해 주셔서 감사합니다! 아직 부족한 점도 있을 텐데 이렇게 칭찬을 해 주셔서 무척 힘이 나는 거 같아요! 오늘 늦게까지도 일 할 수 있습니다! 항상 즐거운 시간을 제공해드릴 수 있는 매장이 되도록 최선을 다하겠습니다! ,5, 양이 너무 많아서 배터질뻔했어요. 서비스도 별로였어요. ,배터질뻔하셨다니 정말 안타깝습니다. 양에 대한 조정을 더 신경써야겠습니다. 불편을 끼쳐드려 죄송합니다.,부정,0.8205140233039856
2,너무 배고파서 먹다가 찍었어요. 너무맛있어요,행복한 하루를 만들어 주셔서 감사합니다 직접 드시는 건데 맛은 당연히 좋아야 된다고 생각해서 열심히 준비 하고 있습니다 아직도 부족한 부분이 있을텐데 이렇게 좋게 봐주셔서 너무 감사해요~더 열심히 할 수 있도록 최선을 다 하겠습니다! 하시는 일 모두 번창하시길 진심으로 바라고 있을게요 ,5, 음식이 너무 싱겁고 부족해서 맛이 없었어요. 배달도 늦게 왔고 실망스러웠어요. ,음식 맛과 배달 시간에 대한 실망을 드려 죄송합니다. 앞으로 더 신속하고 맛있는 음식을 제공하도록 노력하겠습니다. 감사합니다.,부정,0.9412896037101746
3,두번째시켜요~ 이번엔 아이들이 잡채가 먹고싶대서 주문해봤는데 고기도 많이 들어가있고 넘 맛있어요~! 그리고 서비스 묵사발 맛이 진짜 예술입니다 담엔 추가로도 시키려고요! 잘 먹었습니다,다시 주문해 주셔서 감사합니다 저희 메뉴 맛있죠? 이제 점점 저희 메뉴만 생각 나실거에요 흐흐. 그러다가 계속 계속 주문해 주시고 어느새 단골이 되실겁니다 . 저희가 계속 맛있게 드릴 거 거든요 다음에도 맛있는 메뉴로 유혹하겠습니다! ,5, 잡채는 짜다고 하지도 않았는데 맛이 진짜 짜요. 먹기 어려웠어요. ,잡채가 짜다는 피드백을 반영하지 못해 죄송합니다. 더 맛있고 조리하기 쉽도록 개선하도록 하겠습니다. 감사합니다.,부정,0.9102343916893005
4,푸짐하고 너무 맛있어용~,이렇게 저희를 선택해 주셔서 감사합니다~ ~ 맛있게 먹다가 양이 부족하다.? 저는 참을 수 없습니다! 항상 주문을 해주셔도 이미 맛있게 많이 먹었는데 왜 아직도 남았지 라는 생각을 하실 수 있도록 저희는 멈추지 않겠습니다! 저희 메뉴에 중독되시는 그날까지 최선을 다하도록 하겠습니다! ,5, 가격에 비해 음식의 양도 적고 맛도 별로였어요. 실망이었습니다. ,가격과 맛에 대한 실망을 드려 죄송합니다. 더 다양한 메뉴와 향상된 품질로 보답하겠습니다. 감사합니다.,부정,0.9285853505134583
5,반찬 한가지 한가지가 다 찐으로 맛있어요,"저희 매장을 선택해주시고, 리뷰 남겨주셔서 감사합니다! 고객님의 입맛에 딱 맞을 수 있도록 항상 연구를 한답니다 같은 재료지만 맛을 내는 건, 뭐니뭐니 해도 바로 마음과 정성이 아닐까 싶습니다! 더욱 더 잘해서, 고객님의 인생 맛집이 되고 싶습니다! 마음속에 저희 매장이 박히실 수 있도록 노력 많이 해 보겠습니다 ",5, 고기가 전혀 익지 않아서 먹을 수가 없었어요. 서비스도 별로였고 많이 실망했습니다. ,고기가 익지 않아 먹을 수 없었다니 매우 유감입니다. 이러한 문제가 다시 발생하지 않도록 조치하겠습니다. 감사합니다.,부정,0.9419760704040527
6,이가격에 이구성! 최고! 너무 맛있게 잘먹었습니다 ,"행복한 시간 되셨을까요? 양도, 맛도, 서비스도, 전 욕심쟁이라 빠짐없이 다 챙겨 드리고 싶어요 고객님의 마음속에 제대로 저장 될때까지~오늘도 아자아자 중독성 강한 저희 메뉴가 생각나실 때 다시 뵙길 바라요! ",5, 매운맛을 원했는데 맵지도 않고 맛도 별로였어요. 서비스도 별로였습니다. ,매운맛과 맛에 대한 실망을 드려 죄송합니다. 더 매운맛의 음식과 개선된 서비스를 제공하도록 노력하겠습니다. 감사합니다.,부정,0.9355869293212891
7,진짜 최고의 제육정식입니다~!,"즐거운 시간 보내시고, 소중한 리뷰 작성해주셔서 감사드려요! 맛있게 드셔 주시기만 해도 감사한데 이런 칭찬이라니요 과분하지만 정말 감사합니다 저희야말로 준비해드린 메뉴 잘 드셔 주셔서 너무 감사해요 앞으로도 행복한 하루 보내시길 바랄게요~ ",5, 밥도 딱딱하고 소스도 너무 심심해서 맛이 없었어요. 아쉬웠습니다. ,딱딱한 밥과 심심한 소스에 실망하셨다니 저도 매우 아쉽습니다. 더 맛있고 다양한 소스와 부드러운 밥을 제공하도록 하겠습니다. 감사합니다.,부정,0.9317945241928101
8,너무 맛있게 잘먹었습니다. 감사합니다 ,반갑습니다 저희 매장과 즐거운 시간 보내셨을까요? 정말 감사합니다 주신 리뷰 읽고 기분이 엄청 좋아졌어요 다음에 주문해 주셔도 이번과 같이 맛있게 드릴 수 있도록 방심하지 않고 있어야겠어요 하시는 일 모두 번창하시길 진심으로 바라고 있을게요 ,5, 다른 음식점에 비해 맛이 너무 떨어지고 양도 적어서 실망했어요. ,다른 음식점과 비교해서 맛과 양에 대한 실망을 드려 죄송합니다. 향상된 품질로 만족스러운 경험을 제공하겠습니다. 감사합니다.,부정,0.9220861792564392
9,맛있어요! 양이 너무 많아요 배터질뻔. 서비스도 메뉴 수대로 주신거 센스 만점 서비스인데 너무 맛있었어요.미쳤음. 냉면도 잘하고 김치찌개 근본 참치김치찌개라 최고. 소스 안넣어도 간간해서 맛있었어요b 라이더분이 바쁘셨는지 두고 문자 안주셔서 온 지 몰랐다가 나중에 나가보고 알아서 좀 배고파서 죽을 뻔 했는데. 그래도 30분정도 걸려온거라 넘 맛있게 밥 먹었어요! 한식 땡길때 완전 추천 모든 메뉴가 다 맛나요,"귀한 리뷰 남겨 주셔서 정말 감사합니다 고객님께서 맛있다고 해 주신 저희 메뉴! 이대로 번창할 일만 남았군요~만족스럽게 드셔 주시기만 해도 너무 감사한데 오셔서 이렇게 칭찬까지 주셔서 몸 둘 바를 모르겠어요 정말 더 열심히 공부하고, 또 연습해서 계속 만족감 드리도록 하겠습니다! 오늘 그 누구보다 멋진 하루가 될 거예요! ",5, 주문한 음식이 다 미리 식어서 왔는데 맛도 별로였고 실망했습니다. ,미리 식어서 온 음식과 맛에 대한 실망을 드려 죄송합니다. 더 신선하고 맛있는 음식을 제공하도록 노력하겠습니다. 감사합니다.,부정,0.9406982660293579
